Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
950657,Downtown Bridgeport Farmer's Market,102 Bank St,,Bridgeport,CT,6604,4310,FAIRFIELD,Farmers and Markets,41.177296,-73.189148,,
1066537,D.r. Market Retail Centre,730 Maplewood Ave,,Bridgeport,CT,6605,1603,FAIRFIELD,Grocery Store,41.175606,-73.213387,,
1586573,E & A Meat And Seafood Llc,933 E Main St,,Bridgeport,CT,6608,1914,FAIRFIELD,Other,41.187443,-73.180862,,
1415751,East End Nrz Pop Up Market And Cafe LLC,1851 Stratford Ave,,Bridgeport,CT,6607,1524,FAIRFIELD,Farmers and Markets,41.182457,-73.156242,,
1407950,East Side Farmers Market,752 E Main St,,Bridgeport,CT,6608,2335,FAIRFIELD,Farmers and Markets,41.184956,-73.180832,,
1137905,Edip Variety and Deli LLC,124 Beechmont Ave,,Bridgeport,CT,6606,4308,FAIRFIELD,Convenience Store,41.206917,-73.205734,,
1578916,E&j Grocery Deli Mini Market,1377 Stratford Ave,,Bridgeport,CT,6607,1419,FAIRFIELD,Convenience Store,41.179283,-73.163589,,
1590964,El Dorado,2428 Main St,,Bridgeport,CT,6606,5323,FAIRFIELD,Grocery Store,41.195976,-73.199654,,
1517536,El Faro Grocery And Deli,682 Iranistan Ave,,Bridgeport,CT,6605,1220,FAIRFIELD,Convenience Store,41.169746,-73.201073,,
1407902,El Mercadito Llc 1,4090 Main St,,Bridgeport,CT,6606,2399,FAIRFIELD,Convenience Store,41.216377,-73.213364,,
1006790,Extra Fuel Mart,540 Boston Ave,,Bridgeport,CT,6610,1705,FAIRFIELD,Convenience Store,41.198505,-73.18129,,
1567977,Fairfield Market Llc,2262 Fairfield Ave,,Bridgeport,CT,6605,2644,FAIRFIELD,Convenience Store,41.16383,-73.220413,,
1134549,Family Dollar Store 10111,1175 State St,,Bridgeport,CT,6605,1507,FAIRFIELD,Other,41.171429,-73.205917,,
1566197,Family Foodmart 1,2 Mill Hill Ave,,Bridgeport,CT,6610,2809,FAIRFIELD,Convenience Store,41.186565,-73.165367,,
1537453,Family Market,1587 Capitol Ave,,Bridgeport,CT,6604,1622,FAIRFIELD,Convenience Store,41.18877,-73.216911,,
1506508,Farmers' Market Of Black Rock,481 Brewster St,,Bridgeport,CT,6605,3498,FAIRFIELD,Farmers and Markets,41.155941,-73.225304,,
